Ticker,SmartScore,Market Capitalization,Sector,Industry
ZYME,6.0,1066364293.0000002,Health Technology,Pharmaceuticals: Major
ZWS,2.0,7699038456.000001,Producer Manufacturing,Industrial Machinery
ZTS,9.0,67895706508.99999,Health Technology,Pharmaceuticals: Major
ZTO,1.0,14355122106.67492,Transportation,Air Freight/Couriers
ZS,7.0,41765365814.0,Technology Services,Packaged Software
ZM,6.0,24778185245.0,Technology Services,Packaged Software
ZLAB,6.0,3293021978.43876,Health Technology,Biotechnology
ZK,5.0,7208403536.0,Consumer Durables,Motor Vehicles
ZIONP,,8578418792.0,Finance,Major Banks
ZION,9.0,8578418792.000001,Finance,Major Banks
ZIM,2.0,1605698523.0,Transportation,Marine Shipping
ZGN,3.0,3567096794.0,Consumer Non-Durables,Apparel/Footwear
ZG,6.0,20138429422.0,Technology Services,Internet Software/Services
ZETA,9.0,4446602132.0,Technology Services,Packaged Software
ZD,2.0,1531868481.0,Technology Services,Internet Software/Services
ZBRA,7.0,15825554123.0,Electronic Technology,Computer Processing Hardware
ZBH,6.0,20752535056.0,Health Technology,Medical Specialties
Z,7.0,20138429422.0,Technology Services,Internet Software/Services
YUMC,8.0,16481702488.0,Consumer Services,Restaurants
YUM,8.0,39873549926.0,Consumer Services,Restaurants
YPF,3.0,12276609018.712996,Energy Minerals,Integrated Oil
YOU,5.0,4721520588.0,Technology Services,Packaged Software
YMM,8.0,13604189567.0,Technology Services,Packaged Software
YEXT,7.0,1108923398.0,Technology Services,Data Processing Services
YETI,2.0,2941129218.0000005,Producer Manufacturing,Miscellaneous Manufacturing
YELP,3.0,1999022891.0,Technology Services,Internet Software/Services
YB,3.0,1019263372.0,Technology Services,Information Technology Services
YALA,8.0,1201335207.0,Technology Services,Internet Software/Services
XYZ,7.0,46176137576.99999,Commercial Services,Miscellaneous Commercial Services
XYL,8.0,34549571032.0,Producer Manufacturing,Industrial Machinery
XRAY,5.0,2858603643.9999995,Health Technology,Medical Specialties
XPRO,6.0,1448382869.0000002,Energy Minerals,Oil & Gas Production
XPO,8.0,15406813791.000002,Transportation,Trucking
XPEV,8.0,18800504919.4297,Consumer Durables,Motor Vehicles
XP,4.0,9432264513.0,Finance,Investment Banks/Brokers
XOM,6.0,479188977208.0,Energy Minerals,Integrated Oil
XMTR,10.0,2498033242.9999995,Technology Services,Information Technology Services
XIFR,2.0,1932293994.0,Utilities,Alternative Power Generation
XHR,8.0,1402224911.0,Finance,Real Estate Investment Trusts
XHG,4.0,2618563067.0,Finance,Real Estate Development
XERS,8.0,1274080034.0,Health Technology,Biotechnology
XENE,8.0,2979367941.9999995,Health Technology,Pharmaceuticals: Major
XEL,8.0,42724628038.0,Utilities,Electric Utilities
WYNN,9.0,12777675952.0,Consumer Services,Casinos/Gaming
WY,7.0,18434605150.0,Finance,Real Estate Investment Trusts
WWW,10.0,2600951567.0000005,Consumer Non-Durables,Apparel/Footwear
WWD,5.0,14667137738.999998,Producer Manufacturing,Industrial Machinery
WVE,6.0,1301768988.0,Health Technology,Biotechnology
WULF,7.0,3618464589.000001,Technology Services,Data Processing Services
WU,7.0,2816274813.0,Finance,Regional Banks
WTW,8.0,32175228299.0,Finance,Insurance Brokers/Services
WTTR,5.0,1053801158.0,Utilities,Water Utilities
WTS,4.0,9331602167.0,Producer Manufacturing,Industrial Machinery
WTRG,8.0,10938277679.000002,Utilities,Water Utilities
WTM,1.0,4636603122.0,Finance,Multi-Line Insurance
WTFCN,,9360598910.0,Finance,Regional Banks
WTFC,8.0,9360598910.000002,Finance,Regional Banks
WT,9.0,2021251959.0,Miscellaneous,Investment Trusts/Mutual Funds
WST,9.0,17799938932.0,Health Technology,Medical Specialties
WSR,4.0,1330981499.0,Finance,Real Estate Investment Trusts
WSO,4.0,16404770466.999998,Producer Manufacturing,Building Products
WSM,10.0,24712477647.0,Retail Trade,Specialty Stores
WSFS,3.0,3269157405.9999995,Finance,Savings Banks
WSC,5.0,4300613382.999999,Finance,Finance/Rental/Leasing
WSBCP,,3166704402.0,Finance,Regional Banks
WSBC,4.0,3166704402.0,Finance,Regional Banks
WS,5.0,1662014995.0,Non-Energy Minerals,Steel
WRD,4.0,2523771358.0,Consumer Durables,Motor Vehicles
WRBY,7.0,3091647674.0,Retail Trade,Specialty Stores
WRB/PH,9.0,27658029235.0,Finance,Multi-Line Insurance
WRB/PG,9.0,27658029235.0,Finance,Multi-Line Insurance
WRB/PF,9.0,27658029235.0,Finance,Multi-Line Insurance
WRB/PE,9.0,27658029235.0,Finance,Multi-Line Insurance
WRB,9.0,27658029235.000004,Finance,Multi-Line Insurance
WPP,5.0,5758301678.7512,Commercial Services,Advertising/Marketing Services
WPM,7.0,46634831258.09567,Non-Energy Minerals,Precious Metals
WPC,6.0,14650522554.0,Finance,Real Estate Investment Trusts
WOR,6.0,3254504870.0,Producer Manufacturing,Industrial Machinery
WNS,7.0,3234200551.0,Commercial Services,Miscellaneous Commercial Services
WMT,10.0,804699861354.0,Retail Trade,Specialty Stores
WMS,8.0,11201040698.999998,Producer Manufacturing,Miscellaneous Manufacturing
WMK,3.0,1787302425.0,Retail Trade,Food Retail
WMG,9.0,17102756752.000002,Commercial Services,Commercial Printing/Forms
WMB,5.0,70315395095.0,Industrial Services,Oil & Gas Pipelines
WM,8.0,90616679764.0,Industrial Services,Environmental Services
WLYB,,2096515246.953237,Consumer Services,Publishing: Books/Magazines
WLY,5.0,2040952010.0,Consumer Services,Publishing: Books/Magazines
WLK,7.0,11239502288.0,Process Industries,Chemicals: Specialty
WLFC,2.0,1009188052.0,Finance,Finance/Rental/Leasing
WLDN,6.0,1512557037.9999998,Commercial Services,Miscellaneous Commercial Services
WKC,6.0,1487483341.0000002,Distribution Services,Wholesale Distributors
WK,9.0,4259984829.0,Technology Services,Information Technology Services
WIX,10.0,8191571574.0,Technology Services,Packaged Software
WIT,2.0,29079609665.214905,Technology Services,Information Technology Services
WING,3.0,8623413834.0,Consumer Services,Restaurants
WINA,9.0,1702159874.0,Retail Trade,Apparel/Footwear Retail
WHR,8.0,5143962058.0,Consumer Durables,Electronics/Appliances
WHD,3.0,3461618327.0,Industrial Services,Oilfield Services/Equipment
WH,8.0,6582671979.999999,Consumer Services,Hotels/Resorts/Cruise lines
WGS,9.0,3741880879.0,Health Services,Medical/Nursing Services
WGO,9.0,1022834399.0,Consumer Durables,Recreational Products
WFRD,9.0,4501899261.0,Industrial Services,Oilfield Services/Equipment
WFG,6.0,5728035666.915413,Non-Energy Minerals,Forest Products
WFC/PZ,7.0,262137596161.0,Finance,Major Banks
WFC/PY,7.0,262137596161.0,Finance,Major Banks
WFC/PL,7.0,262137596161.0,Finance,Major Banks
WFC/PD,7.0,262137596161.0,Finance,Major Banks
WFC/PC,7.0,262137596161.0,Finance,Major Banks
WFC/PA,7.0,262137596161.0,Finance,Major Banks
WFC,7.0,262137596161.0,Finance,Major Banks
WF,6.0,12830085351.049467,Finance,Major Banks
WEX,4.0,5940061278.000001,Commercial Services,Miscellaneous Commercial Services
WES,5.0,14669711044.0,Industrial Services,Oil & Gas Pipelines
WERN,1.0,1724309649.9999998,Transportation,Trucking
WEN,6.0,1938047020.0,Consumer Services,Restaurants
WELL,10.0,112000819483.0,Finance,Real Estate Investment Trusts
WEC,6.0,34594201112.00001,Utilities,Electric Utilities
WDS,6.0,31843480760.25648,Energy Minerals,Oil & Gas Production
WDFC,6.0,2932247027.9999995,Process Industries,Industrial Specialties
WDC,9.0,31392981820.000004,Electronic Technology,Computer Peripherals
WDAY,8.0,61711711304.0,Technology Services,Information Technology Services
WD,6.0,2841364534.9999995,Finance,Finance/Rental/Leasing
WCN,4.0,46670862098.40967,Industrial Services,Environmental Services
WCC,9.0,10626477036.0,Distribution Services,Wholesale Distributors
WBTN,4.0,1901656559.0,Technology Services,Internet Software/Services
WBS/PG,6.0,10456589202.0,Finance,Savings Banks
WBS/PF,6.0,10456589202.0,Finance,Savings Banks
WBS,6.0,10456589202.0,Finance,Savings Banks
WBD,10.0,29139840125.0,Consumer Services,Cable/Satellite TV
WB,5.0,2829605953.55938,Technology Services,Internet Software/Services
WAY,7.0,6486916695.0,Technology Services,Packaged Software
WAT,5.0,17838786054.0,Health Technology,Medical Specialties
WAL/PA,7.0,10081086935.0,Finance,Regional Banks
WAL,7.0,10081086935.0,Finance,Regional Banks
WAFDP,,2517406161.0,Finance,Major Banks
WAFD,5.0,2517406161.0,Finance,Major Banks
WABC,5.0,1276148047.0,Finance,Regional Banks
WAB,4.0,33127305224.000004,Producer Manufacturing,Trucks/Construction/Farm Machinery
W,9.0,10735925794.999998,Retail Trade,Specialty Stores
VZLA,9.0,1240921032.305555,Non-Energy Minerals,Precious Metals
VZ,7.0,186277248416.0,Communications,Wireless Telecommunications
VYX,8.0,1744517219.0000002,Technology Services,Packaged Software
VVX,5.0,1758309532.0,Commercial Services,Miscellaneous Commercial Services
VVV,8.0,4952393363.999999,Consumer Services,Other Consumer Services
VTS,9.0,1004726728.0,Energy Minerals,Oil & Gas Production
VTRS,7.0,12043458397.000002,Health Technology,Pharmaceuticals: Major
VTR,10.0,31555569651.0,Finance,Real Estate Investment Trusts
VTOL,4.0,1075914734.0,Transportation,Airlines
VTMX,4.0,2440244586.2976604,Finance,Real Estate Development
VST,10.0,64284376442.99999,Utilities,Electric Utilities
VSH,3.0,2077178577.0,Electronic Technology,Electronic Production Equipment
VSEC,6.0,3405803625.0,Industrial Services,Engineering & Construction
VSCO,8.0,2049813900.0,Retail Trade,Apparel/Footwear Retail
VSAT,7.0,4041312232.000001,Electronic Technology,Telecommunications Equipment
VRTX,4.0,101769141017.0,Health Technology,Pharmaceuticals: Major
VRTS,4.0,1328023715.9999998,Finance,Investment Managers
VRT,6.0,48000639089.99999,Electronic Technology,Electronic Production Equipment
VRSN,7.0,25881651479.0,Technology Services,Internet Software/Services
VRSK,6.0,37730024813.99999,Technology Services,Data Processing Services
VRRM,4.0,3991711321.000001,Transportation,Other Transportation
VRNT,1.0,1228393745.0000002,Technology Services,Information Technology Services
VRNS,10.0,6244385473.000001,Technology Services,Packaged Software
VRNA,2.0,9135716670.0,Health Technology,Pharmaceuticals: Major
VRE,1.0,1484471929.0,Finance,Real Estate Investment Trusts
VRDN,9.0,1522186504.0000002,Health Technology,Pharmaceuticals: Major
VOYG,8.0,1629920836.9999998,Technology Services,Information Technology Services
VOYA/PB,10.0,7483948787.0,Finance,Life/Health Insurance
VOYA,10.0,7483948787.000001,Finance,Life/Health Insurance
