Ticker,SmartScore,Market Capitalization,Sector,Industry
TSLA,1,1144565429471.0,Consumer Durables,Motor Vehicles
NVDA,9,3400436649474.9995,Electronic Technology,Semiconductors
MSFT,10,3036261186690.0,Technology Services,Packaged Software
META,10,1866646738798.0,Technology Services,Internet Software/Services
GOOGL,8,2266968724564.0,Technology Services,Internet Software/Services
GOOG,4,2266968724564.0,Technology Services,Internet Software/Services
BRK.B,6,1034061704375.0,Finance,Property/Casualty Insurance
BRK.A,4,1034061704375.0,Finance,Property/Casualty Insurance
AVGO,8,1092341400756.0,Electronic Technology,Semiconductors
AMZN,9,2423488479332.9995,Retail Trade,Internet Retail
AAPL,-1,3674399206727.0,Electronic Technology,Telecommunications Equipment
